Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area
R0091783,SFR,407,W,LUCERNE,DR,,LAFAYETTE,Split level,Avg,1985,1312.0,0,0.0,0.0,Attached,400,8651.0,3552156,2016-10-21 00:00:00,389900,465579.932922113,405
R0091777,SFR,507,W,LUCERNE,DR,,LAFAYETTE,Split level,Avg,1997,1200.0,0,0.0,0.0,Attached,400,6470.0,3695348,2019-01-24 00:00:00,376000,398469.098262825,405
R0091774,SFR,605,W,LUCERNE,DR,,LAFAYETTE,Split level,Avg ++,1992,1300.0,0,0.0,0.0,Attached,400,7142.0,3593533,2017-05-19 00:00:00,407000,470437.190478029,405
R0091770,SFR,705,W,LUCERNE,DR,,LAFAYETTE,Split level,Avg +,1993,856.0,384,384.0,0.0,Attached,400,8620.0,3504843,2016-03-04 00:00:00,372000,463368.575397507,405
R0091770,SFR,705,W,LUCERNE,DR,,LAFAYETTE,Split level,Avg +,1993,856.0,384,384.0,0.0,Attached,400,8620.0,3711519,2019-05-06 00:00:00,459400,480249.344412889,405
R0091768,SFR,709,W,LUCERNE,DR,,LAFAYETTE,Multi Sty,Avg +,1988,1361.0,864,864.0,0.0,Attached,400,9411.0,3596561,2017-05-30 00:00:00,429000,495866.227801166,405
R0021537,SFR,805,W,LUCERNE,DR,,LAFAYETTE,Bi Level,Avg,1985,924.0,484,484.0,0.0,Attached,428,9368.0,3505473,2016-03-09 00:00:00,335000,417280.840747755,405
R0021537,SFR,805,W,LUCERNE,DR,,LAFAYETTE,Bi Level,Avg,1990,924.0,484,484.0,0.0,Attached,428,9368.0,3788409,2020-05-29 00:00:00,395000,396350.9,405
R0081228,SFR,106,,LUCERNE,DR,,LAFAYETTE,Split level,Avg +,1991,888.0,432,432.0,0.0,Attached,360,6696.0,3657812,2018-05-25 00:00:00,330000,360737.957083268,405
R0081228,SFR,106,,LUCERNE,DR,,LAFAYETTE,Split level,Avg +,1991,888.0,432,432.0,0.0,Attached,360,6696.0,3716881,2019-06-06 00:00:00,439500,457880.255163962,405
R0081242,SFR,208,,LUCERNE,DR,,LAFAYETTE,Bi Level,Avg,1994,994.0,864,864.0,0.0,Attached,440,8472.0,3618756,2017-10-06 00:00:00,449200,507284.308757707,405
R0081199,SFR,301,,LUCERNE,DR,,LAFAYETTE,Ranch,Avg,1979,1028.0,0,0.0,0.0,Attached,260,8003.0,3610945,2017-08-24 00:00:00,357000,406928.511967836,405
R0081213,SFR,200,,LUCERNE,WAY,,LAFAYETTE,Split level,Avg +,1980,1436.0,572,572.0,0.0,Attached,364,6726.0,3616464,2017-09-22 00:00:00,435000,493537.378298944,405
R0081213,SFR,200,,LUCERNE,WAY,,LAFAYETTE,Split level,Avg +,1980,1436.0,572,572.0,0.0,Attached,364,6726.0,3743930,2019-10-18 00:00:00,473000,486097.251228365,405
R0081215,SFR,204,,LUCERNE,WAY,,LAFAYETTE,Bi Level,Avg,1980,994.0,864,480.0,384.0,Attached,440,7209.0,3738466,2019-08-18 00:00:00,341000,352843.327964055,405
R0081215,SFR,204,,LUCERNE,WAY,,LAFAYETTE,Bi Level,Avg,2003,994.0,864,480.0,384.0,Attached,440,7209.0,3763061,2020-01-27 00:00:00,471000,479109.378774348,405
R0081135,SFR,205,,LUCERNE,WAY,,LAFAYETTE,Bi Level,Avg,1980,994.0,864,864.0,0.0,Attached,440,6858.0,3651298,2018-04-18 00:00:00,344000,377794.347307173,405
R0069835,SFR,1785,,LYONESSE,ST,,LAFAYETTE,Ranch,Avg,1994,832.0,832,749.0,83.0,Attached,312,5481.0,3784818,2020-05-14 00:00:00,400000,401368.0,405
R0069847,SFR,1840,,LYONESSE,ST,,LAFAYETTE,Ranch,Avg,2006,832.0,832,749.0,83.0,Attached,312,7065.0,3684112,2018-10-30 00:00:00,350000,374734.005822639,405
R0126388,SFR,1627,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1997,1825.0,596,0.0,596.0,Attached,440,7526.0,3520762,2016-05-26 00:00:00,408900,499751.016075955,405
R0126268,SFR,1634,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,1805.0,596,536.0,60.0,Attached,440,5892.0,3704618,2019-03-28 00:00:00,488500,514168.970584906,405
R0126266,SFR,1652,,MACCULLEN,DR,,ERIE,Multi Sty,Good,2006,1901.0,688,688.0,0.0,Attached,528,5902.0,3656426,2018-05-17 00:00:00,520000,568435.568737271,405
R0126264,SFR,1672,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,1613.0,421,0.0,421.0,Attached,440,6082.0,3518180,2016-05-16 00:00:00,384500,469929.727760344,405
R0126367,SFR,1679,,MACCULLEN,DR,,ERIE,Ranch,Good,1998,1276.0,504,504.0,0.0,Attached,396,8476.0,3508713,2016-03-21 00:00:00,395000,492017.707747352,405
R0126263,SFR,1682,,MACCULLEN,DR,,ERIE,Ranch,Good,2001,1664.0,736,0.0,736.0,Attached,400,6141.0,3550267,2016-10-12 00:00:00,412500,492566.612799107,405
R0126261,SFR,1702,,MACCULLEN,DR,,ERIE,Ranch,Good,1998,1664.0,736,0.0,736.0,Attached,400,6421.0,3515245,2016-04-29 00:00:00,433000,534254.271100796,405
R0126261,SFR,1702,,MACCULLEN,DR,,ERIE,Ranch,Good,1998,1664.0,736,0.0,736.0,Attached,400,6421.0,3716620,2019-06-03 00:00:00,490000,510492.207122506,405
R0126471,SFR,1729,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,2924.0,1440,720.0,720.0,Attached,682,8336.0,3493031,2015-12-16 00:00:00,475000,608762.428746208,405
R0126471,SFR,1729,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,2924.0,1440,720.0,720.0,Attached,682,8336.0,3582283,2017-03-23 00:00:00,536000,625331.420571642,405
R0126469,SFR,1749,,MACCULLEN,DR,,ERIE,Ranch,Good ++,1998,2358.0,1023,0.0,1023.0,Attached,440,8231.0,3486029,2015-11-12 00:00:00,443000,573167.410286707,405
R0126244,SFR,1760,,MACCULLEN,DR,,ERIE,Ranch,Good,2003,1664.0,736,736.0,0.0,Attached,400,6852.0,3478689,2015-10-09 00:00:00,425000,555124.281347309,405
R0126244,SFR,1760,,MACCULLEN,DR,,ERIE,Ranch,Good,2003,1664.0,736,736.0,0.0,Attached,400,6852.0,3650773,2018-04-13 00:00:00,497000,545824.972708329,405
R0126460,SFR,1769,,MACCULLEN,DR,,ERIE,Multi Sty,Good,2001,2716.0,493,0.0,493.0,Attached,540,9070.0,3476866,2015-09-30 00:00:00,473500,624373.99781273,405
R0126545,SFR,1846,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,2924.0,493,493.0,0.0,Attached,440,8859.0,3601173,2017-06-30 00:00:00,525000,604014.591759075,405
R0126559,SFR,1851,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,2700.0,493,0.0,493.0,Attached,440,8549.0,3479059,2015-10-09 00:00:00,472700,617428.818336172,405
R0126559,SFR,1851,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,2700.0,493,0.0,493.0,Attached,440,8549.0,3731031,2019-08-14 00:00:00,549000,568067.410710457,405
R0126548,SFR,1856,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1998,2352.0,1120,0.0,1120.0,Attached,672,10075.0,3725764,2019-07-22 00:00:00,511500,531075.078218537,405
R0126558,SFR,1861,,MACCULLEN,DR,,ERIE,Multi Sty,Good +,1997,2259.0,628,628.0,0.0,Attached,616,9914.0,3476187,2015-09-18 00:00:00,446000,588111.516419171,405
R0126550,SFR,1864,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1999,2454.0,1280,1200.0,80.0,Attached,528,11477.0,3596790,2017-06-08 00:00:00,535000,615519.631602105,405
R0126552,SFR,1870,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1999,2716.0,1440,0.0,1440.0,Attached,682,8072.0,3547725,2016-09-29 00:00:00,500000,599832.694805758,405
R0126553,SFR,1874,,MACCULLEN,DR,,ERIE,Multi Sty,Good,1999,2558.0,696,0.0,696.0,Attached,552,8240.0,3556937,2016-11-14 00:00:00,524000,622806.582191791,405
R0086680,SFR,1025,,MAHLON,CT,,LAFAYETTE,Split level,Avg ++,1980,852.0,432,432.0,0.0,Multiple,792,10392.0,3723797,2019-07-12 00:00:00,459000,476565.905967368,405
R0086679,SFR,1027,,MAHLON,CT,,LAFAYETTE,Split level,Avg,1988,1164.0,572,572.0,0.0,Attached,520,10467.0,3475271,2015-09-22 00:00:00,377200,497389.381150922,405
R0020644,SFR,1405,,MAID MARION,CT,,LAFAYETTE,Ranch,Avg,2000,1112.0,1112,0.0,1112.0,None,0,5370.0,3770561,2020-03-05 00:00:00,384000,387953.329613448,405
R0021094,SFR,1412,,MAID MARION,CT,,LAFAYETTE,Ranch,Avg,1972,1104.0,904,723.0,181.0,Attached,384,6799.0,3465431,2015-08-06 00:00:00,228000,303517.127500369,405
R0021094,SFR,1412,,MAID MARION,CT,,LAFAYETTE,Ranch,Avg,1972,1104.0,904,723.0,181.0,Attached,384,6799.0,3594752,2017-05-26 00:00:00,330000,381435.559847051,405
R0073471,SFR,1005,,MALORY,ST,,LAFAYETTE,Bi Level,Avg,2003,720.0,720,720.0,0.0,Attached,400,7602.0,3665592,2018-07-11 00:00:00,425000,460286.893655334,405
R0073473,SFR,1025,,MALORY,ST,,LAFAYETTE,Bi Level,Avg,1999,720.0,720,720.0,0.0,Attached,400,7342.0,3708164,2019-04-18 00:00:00,389800,408884.245836244,405
R0073457,SFR,1050,,MALORY,ST,,LAFAYETTE,Bi Level,Avg,1977,768.0,768,768.0,0.0,Attached,400,9175.0,3485351,2015-11-13 00:00:00,208200,269375.744518493,405
R0073457,SFR,1050,,MALORY,ST,,LAFAYETTE,Bi Level,Avg +,2000,768.0,768,768.0,0.0,Attached,400,9175.0,3519064,2016-05-18 00:00:00,319900,390976.644760817,405
R0073478,SFR,1085,,MALORY,ST,,LAFAYETTE,Bi Level,Avg,1995,720.0,720,648.0,72.0,Attached,400,5222.0,3688128,2018-11-21 00:00:00,329900,352009.694048892,405
R0148329,SFR,1092,,MALORY,ST,38B,LAFAYETTE,Multi Sty,Avg,1985,1424.0,600,600.0,0.0,Attached,546,5654.0,3797501,2020-07-09 00:00:00,408000,408000.0,405
R0073480,SFR,1095,,MALORY,ST,,LAFAYETTE,Bi Level,Avg,1998,576.0,576,576.0,0.0,Attached,400,8210.0,3533838,2016-07-29 00:00:00,330000,399587.866423822,405
R0126522,SFR,1945,,MARCH,CT,,ERIE,Ranch,Good,1998,2358.0,2351,0.0,2351.0,Attached,700,11623.0,3611698,2017-08-25 00:00:00,499200,569016.003289478,405
R0126521,SFR,1951,,MARCH,CT,,ERIE,Multi Sty,Good,1998,2700.0,1440,0.0,1440.0,Attached,682,9428.0,3470452,2015-08-26 00:00:00,488500,650298.757824256,405
R0126521,SFR,1951,,MARCH,CT,,ERIE,Multi Sty,Good,2007,2700.0,1440,0.0,1440.0,Attached,682,9428.0,3724197,2019-07-02 00:00:00,675000,700832.214657894,405
R0113536,SFR,1305,,MARIGOLD,CT,,LAFAYETTE,Multi Sty,Avg,1995,2108.0,646,0.0,646.0,Attached,400,8361.0,3607835,2017-08-04 00:00:00,484600,552374.108962502,405
R0113533,SFR,1318,,MARIGOLD,CT,,LAFAYETTE,Multi Sty,Avg ++,1993,1302.0,616,0.0,616.0,Attached,420,4673.0,3588113,2017-04-20 00:00:00,408000,473790.679450978,405
R0113525,SFR,1362,,MARIGOLD,CT,,LAFAYETTE,Multi Sty,Avg,2005,2108.0,646,0.0,646.0,Attached,400,4699.0,3748623,2019-11-12 00:00:00,535000,547940.060652558,405
R0113489,SFR,1415,,MARIGOLD,DR,,LAFAYETTE,Multi Sty,Avg,2003,1778.0,966,966.0,0.0,Attached,519,9526.0,3458291,2015-07-02 00:00:00,460000,618201.022861809,405
R0113506,SFR,1494,,MARIGOLD,DR,,LAFAYETTE,Multi Sty,Good,1995,1778.0,532,400.0,132.0,Attached,599,7369.0,3557759,2016-11-16 00:00:00,495000,588338.278978886,405
R0113505,SFR,1497,,MARIGOLD,DR,,LAFAYETTE,Multi Sty,Avg ++,1997,1594.0,901,901.0,0.0,Attached,380,4551.0,3613982,2017-09-08 00:00:00,510000,578630.029729796,405
R0119659,SFR,317,,MARMOT,PT,,LAFAYETTE,Multi Sty,Good,1996,2210.0,560,560.0,0.0,Attached,676,12065.0,3718292,2019-06-13 00:00:00,620000,645928.9151346,405
R0119661,SFR,325,,MARMOT,PT,,LAFAYETTE,Multi Sty,Good,1996,2038.0,510,510.0,0.0,Attached,484,9472.0,3720621,2019-06-25 00:00:00,625000,651138.019288911,405
R0145548,SFR,3203,,MCCLURE,DR,,ERIE,Split level,Good,2000,1512.0,468,0.0,468.0,Attached,440,4105.0,3464259,2015-07-29 00:00:00,365000,490529.072488174,405
R0145545,SFR,3225,,MCCLURE,DR,,ERIE,Multi Sty,Good,2000,1800.0,980,880.0,100.0,Attached,508,4484.0,3671828,2018-08-09 00:00:00,545000,587512.44387544,405
R0145610,SFR,3252,,MCCLURE,DR,,ERIE,Split level,Good,2005,1486.0,468,0.0,468.0,Attached,440,4434.0,3678125,2018-09-21 00:00:00,435000,467333.669466601,405
R0145541,SFR,3257,,MCCLURE,DR,,ERIE,Multi Sty,Good,2000,1800.0,980,0.0,980.0,Attached,508,4424.0,3501939,2016-02-17 00:00:00,452500,569017.669360421,405
R0145539,SFR,3271,,MCCLURE,DR,,ERIE,Ranch,Good +,2005,1360.0,776,776.0,0.0,Attached,420,4447.0,3520822,2016-05-24 00:00:00,420000,513317.257891664,405
R0145613,SFR,3288,,MCCLURE,DR,,ERIE,Ranch,Good,2000,1360.0,776,0.0,776.0,Attached,420,5162.0,3795487,2020-06-30 00:00:00,457000,457000.0,405
R0146749,SFR,2725,,MEADOW MOUNTAIN,TRL,,LAFAYETTE,Multi Sty,Good,2001,1827.0,800,725.0,75.0,Attached,400,6272.0,3594687,2017-05-24 00:00:00,633900,732703.034506198,405
R0146744,SFR,2745,,MEADOW MOUNTAIN,TRL,,LAFAYETTE,Ranch,Good +,2010,2025.0,2025,1822.0,203.0,Attached,480,9408.0,3493840,2015-12-29 00:00:00,667800,855855.89456151,405
R0146744,SFR,2745,,MEADOW MOUNTAIN,TRL,,LAFAYETTE,Ranch,Good +,2010,2025.0,2025,1822.0,203.0,Attached,480,9408.0,3744230,2019-10-21 00:00:00,849900,873433.517587711,405
R0118059,SFR,180,,MERCATOR,AVE,,LAFAYETTE,Multi Sty,Good +,1995,1630.0,624,0.0,624.0,Attached,400,7098.0,3720805,2019-06-26 00:00:00,545000,567792.352819931,405
R0118045,SFR,350,,MERCATOR,AVE,,LAFAYETTE,Multi Sty,Good +,1995,1743.0,552,442.0,110.0,Attached,728,7273.0,3768810,2020-02-20 00:00:00,590000,598112.699740699,405
R0118047,SFR,390,,MERCATOR,AVE,,LAFAYETTE,Multi Sty,Good,1995,1556.0,618,556.0,62.0,Attached,620,7102.0,3705076,2019-03-29 00:00:00,535000,563112.383342732,405
R0103228,SFR,950,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg ++,1999,1326.0,336,336.0,0.0,Attached,382,3329.0,3612701,2017-08-31 00:00:00,442000,503816.252912559,405
R0103176,SFR,961,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg ++,1994,1270.0,636,420.0,216.0,Attached,400,3642.0,3592574,2017-05-15 00:00:00,455000,525918.726455782,405
R0103226,SFR,970,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg ++,1989,1040.0,480,432.0,48.0,Attached,364,3283.0,3502316,2016-02-19 00:00:00,360000,452699.140264644,405
R0103225,SFR,980,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg +,1996,1522.0,578,520.0,58.0,None,0,3280.0,3714666,2019-05-24 00:00:00,494900,517360.471375574,405
R0103222,SFR,1010,,MERCURY,DR,,LAFAYETTE,Ranch,Avg,1999,854.0,646,150.0,496.0,Attached,400,3293.0,3683369,2018-10-26 00:00:00,394250,422111.090844501,405
R0103221,SFR,1030,,MERCURY,DR,,LAFAYETTE,Split level,Avg +,1992,1164.0,392,294.0,98.0,Attached,400,4717.0,3643092,2018-02-28 00:00:00,390000,432314.540451895,405
R0103190,SFR,1051,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg ++,1987,1164.0,392,392.0,0.0,Attached,400,4762.0,3704761,2019-03-29 00:00:00,382000,402072.76717182,405
R0103190,SFR,1051,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg ++,2000,1164.0,392,392.0,0.0,Attached,400,4762.0,3727561,2019-07-31 00:00:00,505000,524326.323558869,405
R0103218,SFR,1070,,MERCURY,DR,,LAFAYETTE,Split level,Avg ++,2000,1164.0,392,352.0,40.0,Attached,400,3297.0,3569808,2017-01-19 00:00:00,389000,458071.514115493,405
R0103217,SFR,1080,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg,1989,1266.0,0,0.0,0.0,Attached,382,3267.0,3501198,2016-02-12 00:00:00,345000,433836.676086951,405
R0103217,SFR,1080,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg,1989,1266.0,0,0.0,0.0,Attached,382,3267.0,3800867,2020-06-02 00:00:00,450000,450000.0,405
R0103196,SFR,1111,,MERCURY,DR,,LAFAYETTE,Bi Level,Avg ++,1987,1304.0,936,936.0,0.0,Attached,400,5695.0,3602956,2017-05-04 00:00:00,442000,510892.477128474,405
R0103197,SFR,1121,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg +,2008,1270.0,636,636.0,0.0,Attached,400,4412.0,3660100,2018-05-31 00:00:00,528000,577180.73133323,405
R0103155,SFR,1160,,MERCURY,DR,,LAFAYETTE,Split level,Good,2006,1224.0,420,160.0,260.0,Attached,400,4147.0,3532343,2016-07-21 00:00:00,431000,521885.970995962,405
R0103153,SFR,1180,,MERCURY,DR,,LAFAYETTE,Split level,Avg ++,2000,1224.0,420,294.0,126.0,Attached,400,3835.0,3605666,2017-07-26 00:00:00,475000,543954.564274406,405
R0103210,SFR,1201,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg,1986,1060.0,480,0.0,480.0,Attached,364,3311.0,3783435,2020-05-11 00:00:00,360000,361231.2,405
R0103206,SFR,1241,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg,2009,1522.0,577,520.0,57.0,Attached,400,3450.0,3717855,2019-06-07 00:00:00,370000,385473.707419035,405
R0103206,SFR,1241,,MERCURY,DR,,LAFAYETTE,Multi Sty,Avg,2009,1522.0,577,520.0,57.0,Attached,400,3450.0,3768608,2020-02-14 00:00:00,517500,524615.800196291,405
R0082313,SFR,1005,,MERLIN,DR,,LAFAYETTE,Bi Level,Avg +,1984,888.0,888,888.0,0.0,Attached,384,6908.0,3496912,2016-01-15 00:00:00,320000,406238.124500239,405
R0082324,SFR,1055,,MERLIN,DR,,LAFAYETTE,Multi Sty,Avg,1991,1064.0,532,532.0,0.0,Attached,504,8844.0,3671838,2018-07-26 00:00:00,364000,394222.18656598,405
R0121066,SFR,133,,MESA,CIR,,LAFAYETTE,Multi Sty,Good,1995,1366.0,0,0.0,0.0,Attached,280,4172.0,3720518,2019-06-25 00:00:00,429000,446941.136439909,405
R0121059,SFR,148,,MESA,CIR,,LAFAYETTE,Paired,Avg ++,1996,1056.0,576,500.0,76.0,Attached,260,5143.0,3620520,2017-10-16 00:00:00,390000,440429.386499345,405
R0606132,SFR,509,S,MILLER,AVE,A,LAFAYETTE,Paired,Good,2015,1549.0,681,0.0,681.0,Attached,441,3376.0,3519714,2016-05-20 00:00:00,435000,531650.01710208,405
R0606132,SFR,509,S,MILLER,AVE,A,LAFAYETTE,Paired,Good,2015,1549.0,681,0.0,681.0,Attached,441,3376.0,3738086,2019-09-13 00:00:00,589000,607379.419776821,405
R0606131,SFR,509,S,MILLER,AVE,B,LAFAYETTE,Paired,Good,2015,1362.0,690,0.0,690.0,Attached,348,4877.0,3515220,2016-04-29 00:00:00,440000,542891.176176329,405
R0604951,SFR,511,S,MILLER,AVE,,LAFAYETTE,Multi Sty,Avg,1970,1322.0,700,0.0,700.0,Detached,324,13325.0,3599864,2017-06-19 00:00:00,550000,632777.19136665,405
R0021446,SFR,602,S,MILLER,AVE,,LAFAYETTE,Ranch,Avg +,1960,1488.0,0,0.0,0.0,Detached,480,6974.0,3476345,2015-09-25 00:00:00,375900,495675.154757772,405
R0020447,SFR,703,S,MILLER,AVE,,LAFAYETTE,Ranch,Avg,1975,1260.0,1260,1260.0,0.0,Attached,672,8231.0,3548306,2016-09-30 00:00:00,435792,522804.579469582,405
R0020998,SFR,704,S,MILLER,AVE,,LAFAYETTE,Ranch,Avg,1980,1336.0,1203,902.0,301.0,Attached,336,7629.0,3682114,2018-10-19 00:00:00,437500,468417.507278299,405
R0061050,SFR,712,S,MILLER,AVE,,LAFAYETTE,Multi Sty,Avg +,1990,1740.0,787,787.0,0.0,Attached,756,8186.0,3657297,2018-05-23 00:00:00,545000,595764.20184964,405
R0506513,SFR,585,,MILLS,ST,,LAFAYETTE,Multi Sty,Good,2004,2236.0,945,945.0,0.0,Attached,440,3693.0,3620953,2017-10-16 00:00:00,534150,603218.863586219,405
R0506512,SFR,589,,MILLS,ST,,LAFAYETTE,Multi Sty,Good +,2006,1913.0,967,0.0,967.0,Attached,480,3534.0,3629499,2017-12-05 00:00:00,534000,597468.090685079,405
R0506514,SFR,593,,MILLS,ST,,LAFAYETTE,Multi Sty,Good,2004,1646.0,1006,1006.0,0.0,Attached,466,3565.0,3602505,2017-07-06 00:00:00,534000,611519.446994806,405
R0508287,SFR,596,,MILLS,ST,,LAFAYETTE,Multi Sty,Good,2004,1410.0,660,660.0,0.0,Attached,410,3133.0,3525220,2016-06-20 00:00:00,450000,547431.744383669,405
R0506515,SFR,597,,MILLS,ST,,LAFAYETTE,Multi Sty,Good,2004,1718.0,1144,1144.0,0.0,Attached,380,3683.0,3665212,2018-07-10 00:00:00,565000,611910.811565327,405
R0506527,SFR,604,,MILLS,ST,,LAFAYETTE,Multi Sty,Good +,2004,2224.0,955,955.0,0.0,Attached,429,3680.0,3719795,2019-06-19 00:00:00,560000,583419.665282864,405
R0506516,SFR,605,,MILLS,ST,,LAFAYETTE,Multi Sty,Good,2010,1913.0,967,967.0,0.0,Attached,480,3512.0,3744144,2019-10-17 00:00:00,629000,646416.852056325,405
R0506519,SFR,613,,MILLS,ST,,LAFAYETTE,Multi Sty,Good,2005,1718.0,1144,0.0,1144.0,Attached,380,3611.0,3478185,2015-10-01 00:00:00,431400,563483.79993701,405
R0073428,SFR,1065,,MODRED,ST,,LAFAYETTE,Multi Sty,Avg,1999,1300.0,650,585.0,65.0,Attached,400,8011.0,3693970,2019-01-11 00:00:00,395000,418604.504823978,405
R0073431,SFR,1095,,MODRED,ST,,LAFAYETTE,Multi Sty,Avg,1979,1200.0,600,600.0,0.0,Attached,400,8539.0,3465039,2015-07-28 00:00:00,295000,396455.003791812,405
R0114117,SFR,300,,MORNING STAR,LN,,LAFAYETTE,Multi Sty,Good ++,2000,2008.0,1156,1156.0,0.0,Attached,440,14568.0,3645863,2018-03-07 00:00:00,670000,739249.308741187,405
R0114114,SFR,312,,MORNING STAR,LN,,LAFAYETTE,Multi Sty,Good,1998,2690.0,1396,0.0,1396.0,Attached,660,10289.0,3631989,2017-12-19 00:00:00,624000,698164.959901666,405
R0114113,SFR,316,,MORNING STAR,LN,,LAFAYETTE,Multi Sty,Good,2000,2746.0,1204,0.0,1204.0,Attached,723,10423.0,3468551,2015-08-20 00:00:00,525000,698888.122533745,405
R0114104,SFR,352,,MORNING STAR,LN,,LAFAYETTE,Multi Sty,Good ++,2003,2325.0,1418,1178.0,240.0,Attached,646,9857.0,3710989,2019-05-03 00:00:00,801500,837875.162270201,405
R0114102,SFR,364,,MORNING STAR,LN,,LAFAYETTE,Multi Sty,Good ++,1996,2451.0,1319,1319.0,0.0,Attached,648,9462.0,3643868,2018-03-06 00:00:00,704500,777315.131355472,405
R0126557,SFR,1879,,MORRIS,CT,,ERIE,Multi Sty,Good,1997,1901.0,688,619.0,69.0,Attached,528,10479.0,3466839,2015-08-06 00:00:00,385500,513183.564260492,405
R0126557,SFR,1879,,MORRIS,CT,,ERIE,Multi Sty,Good,2005,1901.0,688,619.0,69.0,Attached,528,10479.0,3692297,2018-12-28 00:00:00,497500,529032.850087752,405
R0606105,SFR,455,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2017,1686.0,648,0.0,648.0,Attached,390,4412.0,3649598,2018-03-30 00:00:00,551000,607949.804651335,405
R0606104,SFR,459,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2017,1652.0,644,0.0,644.0,Attached,430,3307.0,3645772,2018-03-16 00:00:00,502900,554878.324426781,405
R0606103,SFR,463,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2017,1340.0,540,0.0,540.0,Attached,480,3284.0,3644727,2018-03-08 00:00:00,459100,506551.280064297,405
R0606102,SFR,467,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2017,1652.0,644,0.0,644.0,Attached,430,3284.0,3643335,2018-02-22 00:00:00,480900,533077.083341836,405
R0606112,SFR,468,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2017,1686.0,648,0.0,648.0,Attached,390,2681.0,3607711,2017-08-04 00:00:00,478200,545079.031997252,405
R0606101,SFR,471,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2017,1546.0,626,555.0,71.0,Basement,440,3781.0,3636853,2018-01-17 00:00:00,540000,601378.790137477,405
R0606111,SFR,472,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2016,1340.0,540,0.0,540.0,Attached,480,2645.0,3603291,2017-07-13 00:00:00,471200,539602.92776021,405
R0606100,SFR,475,,MURPHY CREEK,DR,,LAFAYETTE,Ranch,Good,2016,1078.0,585,585.0,0.0,Attached,480,3303.0,3599688,2017-06-22 00:00:00,434400,499778.930781223,405
R0606110,SFR,476,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2016,1652.0,644,0.0,644.0,Attached,430,2644.0,3575680,2017-02-14 00:00:00,450000,527444.886653316,405
R0606099,SFR,479,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2016,1546.0,626,626.0,0.0,Basement,440,3314.0,3602358,2017-07-06 00:00:00,525000,601212.939461185,405
R0606109,SFR,480,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2016,1686.0,648,518.0,130.0,Attached,390,2647.0,3579627,2017-03-09 00:00:00,535600,624864.755332409,405
R0606109,SFR,480,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2016,1686.0,648,518.0,130.0,Attached,390,2647.0,3745878,2019-10-25 00:00:00,590000,606336.951849335,405
R0606098,SFR,483,,MURPHY CREEK,DR,,LAFAYETTE,Ranch,Good,2016,1078.0,585,585.0,0.0,Attached,480,3320.0,3570325,2017-01-19 00:00:00,400200,471260.205524474,405
R0606108,SFR,484,,MURPHY CREEK,DR,,LAFAYETTE,Multi Sty,Good,2016,1160.0,580,480.0,100.0,Attached,420,2644.0,3555367,2016-11-03 00:00:00,450600,535566.11819775,405
R0606097,SFR,487,,MURPHY CREEK,DR,,LAFAYETTE,Ranch,Good,2016,1051.0,591,169.0,422.0,Basement,440,3328.0,3571962,2017-01-26 00:00:00,421000,495753.489569724,405
