Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area
R0115319,SFR,7436,,AUGUSTA,DR,,BOULDER,Multi Sty,Good ++,1997,2735.0,1419,896.0,523.0,Attached,632,10978.0,3764880,2020-02-05,830000,841412.780991153,401
R0115320,SFR,7444,,AUGUSTA,DR,,BOULDER,Multi Sty,Good ++,2003,3154.0,1521,1300.0,221.0,Attached,723,10926.0,3600640,2017-06-27,910000,1046958.62571573,401
R0076889,SFR,5421,,BACA,CIR,,UNINCORPORATED,Ranch,Good,1985,2175.0,1450,725.0,725.0,Attached,462,12721.0,3692234,2018-12-24,627500,667272.589809174,401
R0076888,SFR,5437,,BACA,CIR,,UNINCORPORATED,Multi Sty,Good,1984,2209.0,756,756.0,0.0,Attached,462,9281.0,3568390,2017-01-11,585000,688873.613772657,401
R0076892,SFR,5442,,BACA,CIR,,UNINCORPORATED,Split level,Good,2005,1632.0,754,0.0,754.0,Attached,540,6964.0,3791242,2020-06-10,685000,685000.0,401
R0076885,SFR,5485,,BACA,CIR,,UNINCORPORATED,Multi Sty,Good,1995,2736.0,1218,1218.0,0.0,Attached,806,10189.0,3656569,2018-05-18,625000,683215.827809221,401
R0076895,SFR,5488,,BACA,CIR,,UNINCORPORATED,Multi Sty,Avg ++,2005,2781.0,1678,1510.0,168.0,Attached,374,9523.0,3653724,2018-04-27,675000,741311.582652156,401
R0076847,SFR,5515,,BACA,CIR,,UNINCORPORATED,Multi Sty,Avg ++,1995,2259.0,1308,1010.0,298.0,Attached,810,9703.0,3593898,2017-05-22,685000,791767.753015848,401
R0076855,SFR,5516,,BACA,CIR,,UNINCORPORATED,Multi Sty,Good,2001,2213.0,1142,1142.0,0.0,Attached,528,9883.0,3768928,2020-02-26,738700,748857.375082126,401
R0076850,SFR,5547,,BACA,CIR,,UNINCORPORATED,Ranch,Good,1984,2116.0,2088,1470.0,618.0,Attached,594,8071.0,3514756,2016-04-28,685000,845182.853819966,401
R0076851,SFR,5553,,BACA,CIR,,UNINCORPORATED,Multi Sty,Good,1997,1943.0,1026,625.0,401.0,Attached,484,5659.0,3719811,2019-06-17,740000,770947.414838071,401
R0077265,DUP_TRI,6491,,BARNACLE,CT,,UNINCORPORATED,Multi Sty,Avg,1980,2048.0,1024,0.0,1024.0,Carport,722,3909.0,3795969,2020-07-01,480000,480000.0,401
R0039089,DUP_TRI,6495,,BARNACLE,CT,,UNINCORPORATED,Multi Sty,Avg,1980,2048.0,1024,0.0,1024.0,Carport,902,5830.0,3795490,2020-06-26,480000,480000.0,401
R0073872,SFR,6530,,BARNACLE,ST,,UNINCORPORATED,Multi Sty,Avg ++,1998,1704.0,892,892.0,0.0,Attached,483,6789.0,3471918,2015-09-02,520000,685690.55726002,401
R0073869,SFR,6533,,BARNACLE,ST,,UNINCORPORATED,Multi Sty,Avg,1985,1702.0,492,492.0,0.0,Attached,440,5648.0,3482920,2015-10-22,442500,577982.339991022,401
R0073869,SFR,6533,,BARNACLE,ST,,UNINCORPORATED,Multi Sty,Avg,2002,1702.0,492,492.0,0.0,Attached,440,5648.0,3640015,2018-02-07,637500,706667.998815597,401
R0073874,SFR,6550,,BARNACLE,ST,,UNINCORPORATED,Multi Sty,Avg +,2006,1448.0,694,0.0,694.0,Attached,440,6364.0,3604893,2017-07-20,575000,658471.314647965,401
R0038563,SFR,4543,,BEACHCOMBER,CT,,UNINCORPORATED,Ranch,Avg,1985,1192.0,0,0.0,0.0,Carport,304,5624.0,3620926,2017-10-16,315000,355731.427557163,401
R0038905,SFR,4554,,BEACHCOMBER,CT,,UNINCORPORATED,Multi Sty,Avg +,1990,2156.0,0,0.0,0.0,Attached,528,8482.0,3723896,2019-07-12,615000,638536.017799414,401
R0038564,SFR,4559,,BEACHCOMBER,CT,,UNINCORPORATED,Ranch,Avg,1973,1192.0,0,0.0,0.0,Carport,304,4571.0,3549319,2016-10-04,366500,437637.972341509,401
R0038999,SFR,4572,,BEACHCOMBER,CT,,UNINCORPORATED,Bi Level,Avg,1995,1469.0,725,725.0,0.0,Attached,500,8537.0,3726012,2019-07-24,615000,638536.017799414,401
R0039161,SFR,4578,,BEACHCOMBER,CT,,UNINCORPORATED,Ranch,Avg,1972,1504.0,1504,376.0,1128.0,Attached,480,11259.0,3507116,2016-02-05,430000,540723.973093881,401
R0038499,SFR,4584,,BEACHCOMBER,CT,,UNINCORPORATED,Ranch,Avg,1973,1407.0,0,0.0,0.0,Attached,476,7383.0,3545288,2016-09-19,400700,480705.921617335,401
R0120640,SFR,6632,,BEAN MOUNTAIN,LN,,BOULDER,Split level,Good,2001,1707.0,958,558.0,400.0,Attached,420,4760.0,3553933,2016-10-18,530000,632873.466141882,401
R0120639,SFR,6636,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,Good,2001,2162.0,1082,0.0,1082.0,Attached,440,6680.0,3572140,2017-01-27,568000,668855.064312597,401
R0120646,SFR,6647,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,Good,1996,1477.0,997,997.0,0.0,Attached,400,4576.0,3462194,2015-07-10,477500,641719.540035899,401
R0120646,SFR,6647,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,Good,1996,1477.0,997,997.0,0.0,Attached,400,4576.0,3751136,2019-11-22,598500,612975.937010385,401
R0120647,SFR,6655,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,Good,2001,1830.0,921,0.0,921.0,Attached,420,4566.0,3561739,2016-12-07,525000,621100.814575623,401
R0120657,SFR,6672,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,Good,2002,1698.0,862,800.0,62.0,Attached,460,4839.0,3666546,2018-07-17,622400,674076.617908424,401
R0120651,SFR,6681,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,Good +,2012,1698.0,502,350.0,152.0,Attached,460,4448.0,3643066,2018-03-01,640000,706148.593424418,401
R0120652,SFR,6689,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,V Good +,2015,2466.0,946,946.0,0.0,Attached,441,6674.0,3483524,2015-10-28,749400,978847.379862761,401
R0120653,SFR,6693,,BEAN MOUNTAIN,LN,,BOULDER,Multi Sty,V Good,2015,2506.0,1256,0.0,1256.0,Attached,708,8771.0,3521008,2016-05-26,788700,963936.479283703,401
R0120654,SFR,6697,,BEAN MOUNTAIN,LN,,BOULDER,Ranch,Good,1997,1282.0,964,868.0,96.0,Attached,400,5308.0,3489836,2015-12-07,484500,620937.677321132,401
R0120654,SFR,6697,,BEAN MOUNTAIN,LN,,BOULDER,Ranch,Good,2003,1282.0,964,868.0,96.0,Attached,400,5308.0,3711529,2019-05-08,622500,650751.45166962,401
